strain,Slope_pub,PC1_pub,slope_mip_m,PC1_mip_m,slope_nnls,PC1_nnls
QX1212,-0.022529049,0.727977915,-0.031211844215784264,0.30517327698305746,-0.012674676793648764,-0.003967101618513023
QX1791,-0.067588091,-0.726786844,-0.07482087121193705,0.07412913535431631,-0.10167110486294535,0.43562879354345496
QX1792,-0.067896231,-0.258410559,-0.0972493184685452,-0.17765089805793896,-0.2759085903945126,0.3181146088219443
QX1793,-0.092161632,-4.693145701,-0.11597488044959722,-4.149209483186267,-0.10009032281328983,-0.7820260305288294
QX1794,-0.074146538,-2.327385864,-0.07000527174440804,-1.8519661054690004,-0.4226461341621508,-4.111318544731221
WN2001,-0.070780175,-2.48296787,-0.09101895331417421,-2.458638365117163,-0.07172598281217722,-0.6141090572182576
XZ1513,-0.083529885,-2.463690657,-0.10182892664904443,-1.6213945219551433,-0.24523688160860316,-0.49443833030109746
XZ1514,-0.115229672,-3.576384927,-0.1304891726497839,-3.7510874461814248,-0.1669393576608044,-2.048481033618871
XZ1515,-0.00846445,1.236153353,-0.009608750839805653,-0.3043883381948238,0.23505524824827376,-9.337020619666665
XZ1516,-0.037889654,0.571691372,-0.06289623775011735,0.01668478067273771,-0.04643745136081969,0.3717716780944103
