strain,published_slope_baugh,published_pc1_baugh,delta_slope_baugh,delta_pc1_baugh,slope_nnls,pc1_nnls,delta_slope_nnls,delta_pc1_nnls
JU1793,-0.072758139,0.27439272,-5.844100598481735e-4,-0.8904928904179238,-0.06478356407807678,0.2732559522203422,-3.4165482728923125e-4,-0.3067145649508546
JU1896,-0.031635115,-1.14361048,-4.125589576660297e-4,-1.9993336243747721,-0.01098616374296941,-1.076951389458152,-2.115158348913041e-4,-1.058568676341031
JU2001,-0.018527835,0.42774401,9.36698605772507e-6,-0.1203451667764369,0,0.6696009492289228,0,-1.9796720496005713e-17
JU2007,-0.057227878,-0.696571775,-5.138203061599628e-4,-1.2278509371029813,-0.09201422875214013,-1.935502616011629,-7.057618734452883e-4,-1.5929803606927113
JU2017,-0.081088082,-2.231871314,-6.247631204491012e-4,-1.8995515849588784,-0.10803579207104633,-2.623304741828844,-6.820430892656652e-4,-2.16032954180148
JU2106,-0.115823526,-1.474950772,-3.291763259817161e-4,-0.8741557682150023,-0.09883907585037172,-2.551396883180489,-5.301021640448404e-4,-1.6008945837311956
JU2234,0.007524876,-1.030498423,-6.697292484352661e-5,-0.667326405307231,-0.014003352229162994,-1.1757209443119854,-1.2113191658855563e-4,-0.696368797897083
JU2316,-0.015299386,0.679877039,-2.5072792814339183e-5,-0.08398996861415205,0.012254197492312739,0.511290629787691,7.535935413643768e-5,-0.1332739125201409
JU2464,-0.0683345,-1.61173903,-4.399329574876106e-4,-1.1651839983018615,-0.06358641544700269,-1.0792591629607622,-5.211652136846706e-4,-1.1930122400878551
JU2519,0.060697714,4.620836103,7.951290655595827e-4,3.0048518505521575,0.09941175816585535,4.285218777068899,0.0011131832963404064,3.9638595295102546
JU2526,0.102001142,6.257550175,0.0023015443470891443,6.099301896059497,0.0997493495052705,2.292371039861028,0.0020377027908269623,3.106505200612843
JU2576,-0.016061618,0.11523178,-2.4001551545811968e-4,-1.2074618859237058,-0.03299165917630614,-0.792127301881041,-1.4731649045383904e-4,-0.8352611524040082
JU258,-0.150557169,-3.593657934,-0.0015234558865863752,-5.8864012366150025,-0.1257532205405105,-3.34471285931808,-0.0013716537028042471,-5.098487665703827
JU2592,-0.113296238,-3.974033901,-5.379939069576849e-4,-1.7087079140732269,-0.08154119807289507,-1.7704239604034506,-5.397932133145205e-4,-1.1056613459599594
JU2593,-0.036941186,0.332641003,-7.133340072611804e-4,-1.529138793703805,-0.013020239660567331,0.07904539284938866,-3.6412734257989485e-4,-0.8049696806449445
JU2619,-0.062543226,-0.301216533,-9.018910639291237e-5,-0.17002629450462284,0,0.7570128718655349,0,0.0283035432542459
JU2811,-0.115590806,-2.647764156,-0.0011252303683292589,-2.989110656959159,-0.13672600038561386,-2.9828183731983904,-0.0012283060021677922,-3.379520685256901
JU2829,-0.053982309,-0.388233441,-2.215452173592667e-4,-0.7508253272258781,-0.055413794344888065,-1.834132411739322,-2.3493864088351292e-4,-1.497847369934204
JU2838,0.026109881,2.34242874,1.6963277312379398e-4,1.5964387003756326,0.016921387663657198,1.9237941733792105,1.4777036077506502e-4,1.5661423759259692
JU2841,0.001767199,0.512529949,2.6960675616065805e-4,0.48287456777227844,0.02718879345847013,0.42410275945696374,0.0011043319437765112,0.7917009716268668
JU2878,0.017662624,3.826666166,2.2872808228699507e-4,1.5931191368146522,0.03308284177871207,1.9446846432632439,3.2925140725430685e-4,1.4029705007284539
JU2879,-0.00745388,-1.170253072,-5.045933916725423e-5,-0.9373205291788905,0.003452138666709696,-1.029423414747057,-1.9775769178237053e-5,-0.5718594607672797
JU3137,-0.138941776,-3.122977472,-7.690800097200735e-4,-1.4398918299929389,-0.13979642712318321,-1.9997711569165604,-9.563243211236113e-4,-1.2403522597222731
JU561,-0.008879996,1.977281856,-3.749764152343376e-7,-0.017139112663258058,-0.006613014069253318,0.35948072562654493,-7.244091660208272e-5,-0.16506485788351624
JU774,-0.006186768,-1.949462762,-9.014257450872846e-5,-2.2133404154377354,0.026475620198569853,-4.293970616041813,1.1388150325297268e-4,-3.159506239216195
JU775,0.00335483,1.198662497,3.897388814021322e-7,-0.021501096740196644,0.04155467213359146,3.1428383499164347,2.917889941443193e-4,1.162790372448793
JU782,-0.046853184,1.247490661,-6.634189656575998e-4,-0.5792254147943582,-0.10008198000531594,0.4746197337547522,-6.117994385574884e-4,0.29071322432835456
KR314,-0.065884839,-0.115547229,-3.1714462148907526e-4,-0.6265719561252836,-0.0752964820568225,-1.4927953466061974,-3.8678797078010624e-4,-0.5694772842889582
LKC34,-0.052590156,-0.300338232,-1.5411781906360188e-4,-0.4350313439144498,-0.006687845279199013,0.5078641910855591,-6.613710319481988e-5,0.18424807625107997
MY10,-0.096628192,-2.545111543,-4.5430302058292597e-4,-1.855314365869702,-0.03663943981852578,-1.7965505124006702,-2.3351758958047895e-4,-1.475932251369792
MY16,-0.092011155,-4.134755978,-8.295250852375221e-4,-4.7696139688137995,-0.1158408488477171,-4.662195051473811,-8.413323445332851e-4,-5.549169924208545
MY18,-0.143713473,-4.632549676,-4.75572233820704e-4,-1.9568113081139316,-0.15995313026354108,-5.673793482106533,-9.403011148332677e-4,-3.474000670827046
MY2147,-0.183770125,-5.154801188,-7.069613569591828e-4,-2.562361868129023,-0.12685490504327074,-3.605538835451277,-6.543117678081156e-4,-1.7806338225573453
MY23,-0.031740423,-0.576798682,-1.2224522227674732e-4,-0.6700342959115492,-0.01736484451515346,-1.7665522223124732,-7.766984774052646e-5,-0.8514365948936622
MY2453,-0.076873881,-2.118472452,-3.382603662135936e-4,-1.1710949381303428,-0.07588315865330518,-3.368035301523755,-3.409500755445327e-4,-1.6308545669756938
MY2741,-0.094199194,-0.4720837,-5.682132836697253e-4,-0.6153253154987509,-0.1200161983355694,1.1532481624364608,-5.41953097221454e-4,0.39918452917724967
NIC195,-0.041469401,1.488699453,-8.891087605101099e-5,0.4467083805073101,0.001283295124282643,0.02546818343098065,3.9949675370108003e-5,0.07187284822635279
NIC199,-0.009938424,1.563197776,4.538495055106121e-6,0.6462840622492689,0.006148672124852662,2.2451770683853542,5.1246661088295174e-5,1.3149248653864476
NIC251,0.004807741,0.267445575,2.4974811737423062e-5,-0.21333107480023805,-0.0077463185237476645,1.207829571694329,4.883249386028877e-5,0.5735711731487247
NIC252,0.081674275,4.816368562,0.0012400586561238014,4.3122839785948575,0.07502618604477089,4.105365184046772,0.0011319981811686228,4.711502204005864
