strain	FULL	RESTRICTED	SYNTH	DROP3	max_ibs	nearest_extra	delta_restricted	delta_synth	is_twin
JU561	0.0025610829076753816	0.0035707588911630663	0.0035660374390115365	0.00476541513680883	0.9403187762406778	CX11262	0.0010096759834876848	0.001004954531336155	FALSE
JU774	0.004648869914534108	0.005862929367247237	0.005862216265166004	0.006513796258916351	0.9400301995140271	CX11262	0.0012140594527131291	0.0012133463506318956	FALSE
JU775	0.00808172632964314	0.00887922170002775	0.008877821141833577	0.009172175966925912	0.9374548341047574	NIC260	7.974953703846106e-4	7.960948121904371e-4	FALSE
JU782	0.010703092497230882	0.010477364980252887	0.010476232788551294	0.01037365592047027	0.9425845481308797	NIC260	-2.2572751697799535e-4	-2.2685970867958836e-4	FALSE
KR314	0.0019346900825873818	0.0014365841486791377	0.001437095551883255	0.0018500739071054177	0.9429038417079862	CX11262	-4.981059339082441e-4	-4.975945307041268e-4	FALSE
LKC34	0.0012792725201982603	0.0010572252549266518	0.0010569045657787574	0.0010951353094525208	0.9420494282624124	CX11262	-2.2204726527160846e-4	-2.2236795441950286e-4	FALSE
MY10	0.0030576633937457105	0.002178045933982474	0.0021809346776262306	0.0013272992802539165	0.9250177430228291	NIC260	-8.796174597632367e-4	-8.767287161194799e-4	FALSE
MY16	0.002790129495323976	0.0028012472313032758	0.0028016807118232093	0.0031907080441388245	0.9322717697594224	CX11262	1.1117735979299798e-5	1.1551216499233307e-5	FALSE
MY18	0.0035034554222628887	0.0037125661494812187	0.0037131920925635325	0.00369330399154292	0.9338270123982908	CX11262	2.0911072721833002e-4	2.0973667030064385e-4	FALSE
MY2147	0.0032210214234109787	0.00311222165057046	0.003113217867613511	0.002433654445359819	0.9308878948125706	CX11262	-1.0879977284051871e-4	-1.0780355579746758e-4	FALSE
MY23	0.0018337940289397416	0.00182484160178789	0.0018249013002767844	0.0017184492957915923	0.9232604158414881	CX11262	-8.952427151851655e-6	-8.892728662957157e-6	FALSE
MY2453	0.0024864324041166653	0.0020530539192822883	0.0020536463987192834	0.0026751379910816752	0.9329750239672268	NIC260	-4.3337848483437696e-4	-4.3278600539738187e-4	FALSE
MY2741	0.0025486236604525133	0.003154976583508708	0.0031605808387026244	0.003270807927207477	0.934370215648457	CX11262	6.063529230561945e-4	6.119571782501111e-4	FALSE
