rep	max_LOD	max_LOD_chrIII	sd_beta	sd_z
84	4.73290595746532	1.54120584502369	0.00821493007381847	1.13234996632526
85	3.32560631146158	3.32560631146158	0.00775058058603772	1.06834380654948
86	5.42785967615783	3.3935699767372	0.00828797838810609	1.14241898157924
87	4.45868476984347	2.77065324938195	0.00893070122613124	1.23101221091345
88	3.00010195071179	2.01643927500572	0.00779793139697696	1.07487066541385
89	5.26087871602738	2.4265369743302	0.00826872052703715	1.13976446862089
90	3.15123308369113	1.79718912451879	0.00809733620022122	1.11614076945914
91	5.35106312085155	4.12812009496836	0.00857737709403327	1.18230984029217
92	3.42984712060427	3.42984712060427	0.0087788329674795	1.21007861610194
93	4.48119688448292	2.05772105728737	0.00876344340883491	1.20795731183564
94	4.588993428377	3.5327200034333	0.00788404071889844	1.0867400163276
95	3.00852407220668	1.96093655449332	0.00822034617298214	1.13309652407444
96	3.66894539716946	1.92615717496747	0.00853632543648845	1.17665125980265
97	3.69682200025127	3.69682200025127	0.00940673903583189	1.29662949468097
98	3.29212289818484	2.75061426459508	0.00795613317004989	1.0966772749409
99	4.18970427051083	3.31810280178745	0.00856183316904856	1.18016725809429
100	4.76853802899338	3.74679891752952	0.00863347876824948	1.19004292241687
101	3.88800532373483	3.88800532373483	0.00787864297305001	1.08599598840834
102	4.17895938602592	2.28783719108069	0.00834852705339821	1.15076503912185
103	3.90688148000917	1.51660391773502	0.00854664931818657	1.17807430868902
104	2.76329101633122	2.24528166959665	0.0079183404947619	1.09146791415448
105	4.23594898102965	2.50045549657073	0.00790007000141516	1.08894950044432
106	4.82191763590785	2.92278937284583	0.00821085023357996	1.13178759915778
107	3.46315404511183	2.5109698764132	0.00789558744224085	1.08833162230239
108	3.63947866555918	1.96479925397756	0.00818595300058699	1.1283557524241
109	4.80114472455995	3.42544250309023	0.00951779709876384	1.31193779221864
110	4.10915168328227	2.54607863861894	0.00844421204748498	1.16395430535521
111	4.36239607369914	2.16525344043653	0.00746339863689162	1.02875850667198
112	3.10852361282956	2.23878617297192	0.00792072383072202	1.09179643434515
113	2.99722691957149	2.84751407635446	0.008131125859203	1.12079835252636
