strain	nn_pool_ibs	nn_pool	mean_pool_ibs
ECA2560	0.981085	N2	0.9303654901960784
ECA2561	0.926495	N2	0.8913061764705882
ECA2565	0.991205	N2	0.9356933333333334
ECA2568	0.982715	N2	0.9320021568627451
ECA2581	0.902135	ECA36	0.8435573529411765
ECA2583	0.9669	N2	0.9241900980392157
ECA2584	0.961115	N2	0.920191862745098
ECA2594	0.975385	N2	0.9260913725490196
ECA2595	0.916125	N2	0.8823810784313726
ECA2601	0.92181	N2	0.8875714705882353
ECA2602	0.97699	N2	0.9276932352941176
ECA2603	0.982595	N2	0.9313694117647059
ECA2607	0.98047	N2	0.9290888235294118
ECA2609	0.9661	N2	0.9238112745098039
ECA2612	0.934775	JU561	0.9006635294117648
ECA2615	0.98317	N2	0.9322687254901961
ECA2641	0.97055	N2	0.9241337254901961
ECA2648	0.975435	N2	0.9275428431372549
ECA2656	0.977585	N2	0.9290699019607843
ECA2659	0.936595	N2	0.9008737254901961
ECA2660	0.92188	N2	0.8888763725490196
ECA2672	0.96331	N2	0.922098137254902
ECA2676	0.962045	N2	0.9213776470588235
ECA347	0.907005	ECA363	0.8096113725490196
ECA348	0.984675	PS2025	0.9100754455445544
ECA349	0.968835	XZ1515	0.921998137254902
ECA36	0.94786	QX1211	0.7848270297029702
ECA363	0.91425	QX1211	0.7911749504950495
ECA369	0.847465	N2	0.818000198019802
ECA372	0.943885	XZ1515	0.9035515841584159
ECA396	0.918565	ECA191	0.8003408910891089
ECA592	0.949055	N2	0.9111752941176471
ECA593	0.935805	N2	0.9035001960784314
ECA594	0.95793	MY23	0.9076506862745098
ECA640	0.96389	XZ1515	0.9181976470588236
ECA701	0.838295	N2	0.81517
ECA703	0.936495	CB4856	0.895011568627451
ECA705	0.95049	QX1794	0.9020186274509804
ECA706	0.93346	N2	0.9019318627450981
ECA710	0.94504	XZ1513	0.902306568627451
ECA712	0.93709	N2	0.9047514705882352
ECA722	0.940555	ECA191	0.8189538235294118
ECA723	0.939595	ECA191	0.8274158823529412
ECA724	0.89682	ECA363	0.8201713725490196
ECA730	0.94972	ECA191	0.8233761764705883
ECA732	0.946495	DL238	0.9006455882352942
ECA733	0.94576	DL238	0.9029958823529411
ECA738	0.945345	XZ1515	0.9030182352941176
ECA740	0.932705	QX1211	0.795921862745098
ECA741	0.930595	ECA363	0.8018746078431372
ECA742	0.93377	ECA36	0.7897822549019607
ECA743	0.935355	QX1794	0.9013994117647058
ECA744	0.922855	ECA396	0.8318436274509804
ECA745	0.926505	ECA191	0.8276521568627451
ECA746	0.92047	ECA191	0.8309386274509803
ECA760	0.94367	XZ1515	0.90609245098039215
ECA768	0.93335	N2	0.9018743137254902
ECA777	0.94402	XZ1515	0.9067344117647059
ECA778	0.94229	XZ1515	0.9056308823529412
ECA807	0.932025	N2	0.8994435294117648
ECA812	0.938905	XZ1515	0.9057119607843137
ECA923	0.95591	N2	0.9180239215686274
ECA928	0.96742	QX1212	0.9117516666666666
ECA930	0.972505	MY18	0.926095294117647
ED3005	0.977705	MY18	0.9254135294117647
ED3011	0.97333	N2	0.9273753921568627
ED3012	0.98787	N2	0.9336392156862745
ED3017	0.97689	N2	0.9288407920792079
ED3040	0.97539	LKC34	0.9284099019607843
ED3046	0.99851	ED3049	0.9212600980392157
ED3048	0.980755	N2	0.9316586274509804
ED3049	0.96344	N2	0.9205844554455446
ED3052	0.97355	N2	0.9263233663366337
ED3073	0.9765	N2	0.9289203921568627
ED3077	0.96936	N2	0.9248821782178218
EG4347	0.99097	N2	0.9359289215686275
EG4349	0.95655	ED3017	0.920421568627451
EG4724	0.954955	NIC252	0.9188932673267327
EG4725	0.95162	NIC266	0.9073791089108911
EG4946	0.98329	N2	0.93291
GXW1	0.972745	N2	0.9243341584158415
JR4305	0.95616	XZ1515	0.9107455882352942
JT11398	0.97966	N2	0.9290390196078432
JU1088	0.97413	N2	0.9257021568627452
JU1172	0.975715	N2	0.928773137254902
JU1200	0.996335	N2	0.9384117647058824
JU1212	0.9633	JU2106	0.9176348514851486
JU1213	0.963465	ED3017	0.920329705882353
JU1242	0.96763	DL200	0.9231112745098039
JU1246	0.96364	JU1793	0.9187749019607843
JU1249	0.990955	N2	0.9349206862745099
JU1395	0.98615	N2	0.9335142156862746
