strain	slope_nnls	slope_baugh	resid	resid_z	rmsd	bias	rho	mean_frq	n
JU1793	-5.117418286266265e-4	-5.844100598481733e-4	7.266823122154681e-5	0.36325445608731377	0.004527802494854033	-0.004118948893917393	0.9608615722805915	0.004980925955793709	23
JU1896	-2.2709892437706408e-4	-4.125589576660297e-4	1.854600332889656e-4	1.1743950608911093	0.0028051101047318005	-0.001180806745080512	0.9387351778656126	0.0110705899168577	23
JU2001	0	9.36698605772507e-6	-9.36698605772507e-6	-0.22670061635088803	0.0016856821053030941	-0.0012554465260994358	NA	0	23
JU2007	-5.578425373876833e-4	-5.138203061599628e-4	-4.402223122772046e-5	-0.47592330817393025	0.0023736035111098933	-0.0010687456290150064	0.9525227211469846	0.010053647903630185	23
JU2017	-5.742547417668532e-4	-6.247631204491012e-4	5.050837868224799e-5	0.2038921987102594	0.001624636379938505	-1.8785025980652011e-4	0.9209486166007906	0.007975842324361757	23
JU2106	-4.794379134261223e-4	-3.291763259817161e-4	-1.5026158744440622e-4	-1.2399420939014527	0.0016161714269264183	3.7917521507344797e-4	0.878677825624113	0.0042885171790669275	23
JU2234	-9.788686150582606e-5	-6.697292484352661e-5	-3.0913936662299446e-5	-0.3816551983747227	0.004066292511856622	-0.0038060751271867146	0.9336272118759396	0.002098072371410307	23
JU2316	5.974062530973241e-5	-2.507279281433919e-5	8.48134181240716e-5	0.4505963911304351	0.005545727036609335	-0.004964469826691604	0.6111389270353942	9.853267881126736e-4	23
JU2464	-4.622241452321302e-4	-4.3993295748761066e-4	-2.229118774451955e-5	-0.31964482488978985	0.002907471771458202	0.001715523744771916	0.9071146245059288	0.008942701786019018	23
JU2519	9.533486574019193e-4	7.951290655595827e-4	1.5821959184233656e-4	0.9784958222484483	0.002591962968857879	0.0013781080156134956	0.9604743083003953	0.015518284654524315	23
JU2526	0.0022849428619384333	0.0023015443470891443	-1.660148515071104e-5	-0.27872741140315227	0.004194646401714603	0.003625781004402393	0.9792490118577075	0.026226866026887553	23
JU2576	-1.3266677237826018e-4	-2.4001551545811968e-4	1.073487430798595e-4	0.6126588529320633	0.008010440204666073	-0.007535872216767182	0.9565217391304348	0.006159442558553873	23
JU258	-0.0013701453225552	-0.0015234558865863754	1.5331056403117553e-4	0.9431926201117921	0.004132240989886095	-0.0025286313100702324	0.9772727272727273	0.015671291847420644	23
JU2592	-4.215276722509073e-4	-5.379939069576848e-4	1.1646623470677752e-4	0.6782271614172074	0.003084452555835774	-0.002296073642204196	0.8782084590902243	0.0036340496864653835	23
JU2593	-4.389600622803866e-4	-7.133340072611803e-4	2.743739449807937e-4	1.8138181641949433	0.010901806495981395	-0.00905468570761893	0.9913516487471756	0.03719849527723877	23
JU2619	-6.0539151806950315e-5	-9.018910639291238e-5	2.9649954585962068e-5	0.05388914506100213	0.0011212189215935064	-6.95226665330741e-4	0.33328218996125186	3.8089075376116345e-4	23
JU2811	-0.0012580489257743854	-0.0011252303683292589	-1.3281855744512656e-4	-1.1145007972479126	0.001411850820294387	1.6154751670786708e-5	0.9752724849957704	0.012706400623351731	23
JU2829	-2.760317367269034e-4	-2.215452173592667e-4	-5.448651936763667e-5	-0.5511770842026109	0.002513308998965618	0.002276880148831869	0.9525691699604744	0.007670215743857736	23
JU2838	1.416871858384197e-4	1.696327731237938e-4	-2.794558728537409e-5	-0.36030835698434377	0.0018106239983383642	-0.0012901695256310776	0.9752964426877471	0.015068462502865502	23
JU2841	8.936037486562396e-4	2.696067561606582e-4	6.239969924955814e-4	4.3281272275875065	0.007798712436378632	0.0021012631807044747	0.9466403162055336	0.013948520048737121	23
JU2878	2.2219366958070754e-4	2.2872808228699507e-4	-6.534412706287536e-6	-0.20633020627389675	0.003922985888718847	-0.0035541148012459087	0.9539405180931617	0.006974920516653949	23
JU2879	1.6533560078882783e-5	-5.0459339167254265e-5	6.699289924613705e-5	0.3224403886939712	0.0035576845838574383	-0.0033751411712157993	0.8257325530536695	0.0014388641660102097	23
JU3137	-7.865839645296331e-4	-7.690800097200737e-4	-1.7503954809559418e-5	-0.2852175088346819	0.002479388079839397	0.00212113773681924	0.9654150197628458	0.010256800849247343	23
JU561	-8.332962164579758e-5	-3.749764152343376e-7	-8.295464523056325e-5	-0.7559051974770342	0.002934862980319371	0.0026205017257879865	-0.3102766798418973	0.0027025923007409237	23
JU774	1.4114095413961171e-4	-9.014257450872849e-5	2.312835286483402e-4	1.5039340615873649	0.004507181140345832	-0.0030393842112871063	0.808300395256917	0.008190976341371508	23
JU775	2.6469302087550476e-4	3.8973888140213213e-7	2.643032819941026e-4	1.7413951377331698	0.00792550432935118	0.0072055937772906465	-0.03359683794466403	0.007382282569065592	23
JU782	-5.258156376046578e-4	-6.634189656575998e-4	1.3760332805294205e-4	0.8302342609256809	0.010868525176212361	-0.009903397692967686	0.8080230974390116	0.002767577129001699	23
KR314	-3.1240052402851557e-4	-3.171446214890753e-4	4.7440974605597445e-6	-0.12522096437567817	0.0021183283764213056	-0.001813298488164111	0.785900098821385	0.003037480969318499	23
LKC34	-1.0658425483602263e-4	-1.541178190636019e-4	4.7533564227579284e-5	0.18249886380727828	0.001267114365263021	5.083962914451656e-4	0.9686187594937509	0.005243715033472101	23
MY10	-3.591922489791164e-4	-4.54303020582926e-4	9.511077160380963e-5	0.5246496589773358	0.003229460831916834	-0.002847485575240069	0.9535118413143231	0.004411850811119472	23
MY16	-8.313518041898528e-4	-8.29525085237522e-4	-1.82671895233074e-6	-0.17247489508263586	0.002778849188100278	-5.214721838698701e-4	0.9486166007905138	0.014512044421517357	23
MY18	-8.677746613100207e-4	-4.7557223382070423e-4	-3.922024274893165e-4	-2.979856127755296	0.0036111777918724566	0.0010363355591751495	0.8547430830039526	0.006223225831832345	23
MY2147	-5.701329538379456e-4	-7.069613569591829e-4	1.3682840312123732e-4	0.8246613995451633	0.0031258981907770333	-0.002627751746329945	0.9154616483557111	0.003205823579962078	23
MY23	-2.2667733120376572e-4	-1.2224522227674732e-4	-1.044321089270184e-4	-0.9103600654113281	0.001818624563833426	-7.720168158857499e-5	0.8349802371541502	0.00744177319039231	23
MY2453	-3.3917886709618493e-4	-3.382603662135936e-4	-9.185008825913512e-7	-0.16594345803775382	0.002655436163448282	-0.002251442003131185	0.9515643123032016	0.003546904230491557	23
