strain	rmsd	mean_f	zero_frac	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	n_private	n_private_div	n_private_nondiv	n_shared_div	pc1	pc2	pc1_abs	rel	div_frac
MY2741	0.00254862366045251	0.00716608858284528	0	0.969872	MY18	0.969872	MY18	0.91679584	440	159	281	17432	-10.4926123344465	-12.5516377963182	4.21508281287653	0.35565059390329	0.361363636363636
NIC195	0.0034974889809822	0.00569088699607319	0	0.9328	JU561	0.9328	JU561	0.9008145	920	96	824	31905	-0.510178292667725	12.7896938773349	5.76735122890228	0.614577127150043	0.104347826086957
NIC199	0.00234785622337845	0.00579415654464105	0.434782608695652	0.932294	JU2007	0.932294	JU2007	0.90371012	2592	929	1663	26019	-2.04134405783826	14.7488910602765	4.23618546373174	0.405211044142387	0.358410493827161
NIC251	0.00132832310721523	0.011768625898885	0.0434782608695652	0.91383	JU2316	0.91383	JU2316	0.8751853	3396	703	2693	41312	10.9657938576879	27.073226255645	17.2433233792579	0.112869855718762	0.207008244994111
NIC252	0.00190843203430267	0.0199072824945778	0	0.954932	EG4724	0.954932	EG4724	0.91266816	1356	82	1274	18851	-6.26021785975366	3.8607984998846	0.017311661816338	0.0958660246481396	0.0604719764011799
NIC256	0.0161000979688119	0.0113747533604174	0	0.994828	NIC271	0.994828	NIC271	0.9133648	187	27	160	25297	-4.3423850439337	28.8667180067137	1.9351444776363	1.41542391809901	0.144385026737968
NIC258	0.00763553036600512	0.0316552344627342	0	0.96697	JU2519	0.96697	JU2519	0.89549348	211	13	198	37506	7.28891950670828	46.3126958398393	13.5664490282783	0.241209092132739	0.0616113744075829
NIC261	0.00375224717786907	0.0159956712315898	0.130434782608696	0.970174	NIC271	0.970174	NIC271	0.90553062	249	25	224	22849	0.440160912096655	36.1232280560903	6.71769043366666	0.234578913478715	0.100401606425703
NIC262	0.00291749328470206	0.00735174188578743	0.0434782608695652	0.981254	NIC271	0.981254	NIC271	0.9069457	208	28	180	26969	-1.37591467285637	33.3194197130198	4.90161484871364	0.39684381334745	0.134615384615385
NIC265	0.0034006876476737	0.019375764514509	0	0.963036	JU2316	0.963036	JU2316	0.89132616	815	49	766	29053	11.0920005087917	42.9438653927717	17.3695300303617	0.175512436948084	0.0601226993865031
NIC266	0.00397868770963766	0.0041848208865604	0.608695652173913	0.951942	EG4725	0.951942	EG4725	0.91496932	608	7	601	18874	-4.74642969534871	5.7545044600903	1.53109982622129	0.950742652431139	0.0115131578947368
NIC268	0.00138385095784655	0.00411886844686808	0.173913043478261	0.940044	ED3077	0.946586	N2	0.90896164	5026	361	4665	15225	-5.90002749871088	-4.0341284806345	0.377502022859124	0.335978430896186	0.0718265021886192
NIC271	0.0192613460260487	0.0238620208421219	0.304347826086957	0.994828	NIC256	0.994828	NIC256	0.91234636	100	6	94	26515	-3.87238927683057	31.3469968056114	2.40514024473944	0.807196764829237	0.06
NIC3	0.00278246885308486	0.00407223141778934	0	0.962094	ED3017	0.971088	N2	0.92413678	1373	17	1356	4566	-11.0723302461822	-7.89688344860447	4.79480072461218	0.683278666563442	0.0123816460305899
NIC501	0.00363644519328849	0.0114033311567692	0.0434782608695652	0.962444	JU1793	0.962444	JU1793	0.9152203	707	39	668	17058	-5.41968798944909	5.5007424727436	0.857841532120916	0.31889323771237	0.0551626591230552
NIC523	0.00261254507439911	0.015887373578473	0	0.952244	JU561	0.95726	N2	0.91488474	842	19	823	10550	-8.40500179549504	-8.47269108392729	2.12747227392504	0.164441596434733	0.0225653206650831
NIC526	0.00230594640870844	0.00196796333789189	0	0.966852	NIC527	0.966852	NIC527	0.92097962	1364	12	1352	8956	-9.13082259888521	-6.57028131359756	2.85329307731521	1.17174256466515	0.00879765395894428
NIC527	0.00403965303982396	0.00952493557255894	0.173913043478261	0.966852	NIC526	0.966852	NIC526	0.92150726	942	12	930	9294	-9.03589951888332	-4.30304522771016	2.75836999731332	0.424113424080482	0.0127388535031847
NIC528	0.00686870947618957	0.0125977423526875	0.521739130434783	0.962482	ED3017	0.967416	N2	0.92266926	718	28	690	12145	-10.0078750629614	-8.32600273266015	3.73034554139135	0.545233366732909	0.0389972144846797
PB306	0.0041595585734236	0.00149030431499313	0						0	0	0	13753	-6.64441097319128	-14.9872637063213	0.366881451621282	2.79108000398079	
PS2025	0.00267670963105592	0.0163297996331439	0.0434782608695652	0.984054	ECA348	0.984054	ECA348	0.9102611	148	3	145	21126	-5.19282880462905	-13.9163119760741	1.08470071694095	0.163915644477542	0.0202702702702703
QG2075	0.00109806827666262	0.00481467324433148	0	0.95352	JU2007	0.95352	JU2007	0.91663266	1599	44	1555	15421	-6.27752952157	0.564328862194201	0	0.228067040261855	0.0275171982489056
QG556	0.00243704545744259	0.00273938394405325	0	0.95842	ECA348	0.95842	ECA348	0.9115834	1273	114	1159	13903	-6.83351545899661	-12.1308891953202	0.555985937426609	0.889632671876102	0.0895522388059701
QW947	0.00583305472169512	0.0121572878918636	0.0434782608695652	0.954822	JU2464	0.958442	N2	0.9174054	1056	61	995	14004	-6.73916082488671	-0.751681816028905	0.461631303316706	0.479799012212168	0.0577651515151515
QX1211	0.000266245754815758	0.000244999071830148	0.826086956521739	0.94802	ECA36	0.94802	ECA36	0.7868709	11391	1799	9592	79066	82.6307669886105	-11.6667362720069	88.9082965101806	1.08672148358317	0.15793170046528
QX1212	0.00191009637139544	0.00639649232977792	0	0.965374	XZ1515	0.965374	XZ1515	0.91761762	2249	108	2141	15764	-8.29149972176825	-12.7164483184311	2.01397020019825	0.298616221659998	0.0480213428190307
QX1791	0.00233973214779992	0.0106703687130413	0.217391304347826	0.911308	XZ1515	0.917594	N2	0.8830392	14466	4980	9486	41843	2.65482841088096	-5.44021379242713	8.93235793245096	0.219273786194501	0.344255495644961
QX1792	0.00171362711601133	0.00957171861235425	0.0434782608695652	0.941444	XZ1515	0.945562	N2	0.90817804	4637	87	4550	17449	-5.30568385156494	-9.03772577091149	0.971845670005057	0.179030243722329	0.0187621306879448
QX1793	0.00178659634879706	0.0152991080213617	0	0.93891	XZ1515	0.93891	XZ1515	0.90335966	5294	139	5155	18842	-1.96308570959711	-6.03910401694835	4.31444381197289	0.116777811249028	0.0262561390253117
QX1794	0.00279534567957054	0.00558133010156977	0.347826086956522	0.939908	XZ1515	0.939908	XZ1515	0.90078732	3711	88	3623	26915	-1.1558418168697	-9.00576288745979	5.1216877047003	0.500838622461041	0.0237132848288871
WN2001	0.00219296024512393	0.00333441501009191	0	0.944192	MY18	0.947122	N2	0.9117768	1466	168	1298	16554	-3.75931531815092	4.72163177373541	2.51821420341908	0.657674656120109	0.114597544338336
XZ1513	0.00176865066071398	0.00926943469376986	0.0434782608695652	0.941434	ECA372	0.941434	ECA372	0.89560768	2870	175	2695	30608	1.01933097393455	-10.1464782850092	7.29686049550455	0.190804587242275	0.0609756097560976
XZ1514	0.00254074819138351	0.005340405791848	0.0869565217391304	0.858536	ECA363	0.858536	ECA363	0.7697692	37268	9946	27322	90497	77.7699441548135	-15.0516826224076	84.0474736763836	0.475759388034126	0.266877750348825
XZ1515	0.00487600369566331	0.0035643312206288	0.91304347826087	0.970726	CX11254	0.97777	N2	0.93050372	254	21	233	9745	-8.73803476512324	-12.5074947986785	2.46050524355324	1.36799960324762	0.0826771653543307
XZ1516	0.000440739309993986	0.00413793491522557	0	0.70042	XZ1514	0.702722	N2	0.68110256	154060	77930	76130	129348	68.8825954025957	-9.43431564693359	75.1601249241657	0.106511900023435	0.505841879787096
