strain	rmsd	bias	mean_f	zero_frac	n	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	rel
GXW1	0.00343024114464843	0.00100182746555023	0.00905931399836232	0	23	0.966286	ED3052	0.972562	N2	0.92363104	0.378642482782749
JU1212	0.00288548343249796	-0.00230464480883316	0.00734808682844198	0.173913043478261	23	0.963072	JU2106	0.963072	JU2106	0.91764512	0.392684994048958
JU1400	0.00255174696001275	-0.00200757208375929	0.00376828994839801	0.565217391304348	23	0.950838	NIC528	0.955158	N2	0.91708172	0.677163115088202
JU1581	0.00299063807581052	0.00271503451453457	0.00268892865429602	0	23	0.960798	MY2147	0.96218	N2	0.91856074	1.11220432384194
JU1652	0.00355155288303675	0.00019989980732367	0.0284001940218278	0.0434782608695652	23	0.967646	JU1896	0.967646	JU1896	0.92011038	0.125053824643138
JU1793	0.00439733808969152	-0.00399793283304516	0.0090998748497111	0.304347826086957	23	0.972618	JU2106	0.972618	JU2106	0.90729886	0.483230611663975
JU1896	0.00275731456730439	-0.00101109989234853	0.0122513966619382	0	23	0.969328	JU2234	0.969328	JU2234	0.91797168	0.225061243496476
JU2001	0.00168568210530309	-0.00125544652609944	0.00125544652609944	1	23	0.951172	JU3137	0.951172	JU3137	0.91407852	1.34269526440155
JU2007	0.00227171287010326	-0.00051653919651937	0.0111223935326452	0.0869565217391304	23	0.964538	CX11271	0.97066	N2	0.92557882	0.204246762482876
JU2017	0.00182905878787538	-0.000997290123519967	0.00816369258416828	0	23	0.952886	XZ1515	0.960588	N2	0.91724174	0.224047974494097
JU2106	0.00153322958090215	0.000231122738244428	0.00390934196399348	0.304347826086957	23	0.972618	JU1793	0.972618	JU1793	0.91107464	0.392196332534676
JU2234	0.00409208246687091	-0.00383155787649075	0.00590414749859702	0.434782608695652	23	0.969328	JU1896	0.969328	JU1896	0.91944944	0.693086083612121
JU2316	0.00555580343879534	-0.00496540668734375	0.00594979661480428	0.652173913043478	23	0.96819	JU2526	0.96819	JU2526	0.88939436	0.93378039595024
JU2464	0.00287643005280945	0.00163765751695141	0.0072271780412471	0	23	0.963898	GXW1	0.970884	N2	0.92394678	0.398001825386483
JU2519	0.00256662823798314	0.0013139526215112	0.0141401766389108	0	23	0.96697	NIC258	0.96697	NIC258	0.90588422	0.181513166597956
JU2526	0.00413249970205414	0.00354289231789921	0.0226010850224852	0	23	0.96819	JU2316	0.96819	JU2316	0.88366222	0.182845190748269
