rep	trait	arm	depth	r2	n.neg	min.coef
2	etoposide_median.TOF	rcppml.ne	50	0.9949240136398974	0	0
2	etoposide_median.TOF	rcppml.ne	30	0.9883296472409098	0	0
2	etoposide_median.TOF	rcppml.ne	10	0.9612896718964636	0	0
2	etoposide_median.TOF	rcppml.ne	5	0.9212443617052202	0	0
2	etoposide_median.TOF	rcppml.ne	3	0.8864163292325111	0	0
2	etoposide_median.TOF	rcppml.ne	1	0.7778369990496756	0	0
2	mtDNA_ratio	fcnnls.ne	500	0.9964033620030113	0	0
2	mtDNA_ratio	fcnnls.ne	100	0.9830956248817851	0	0
2	mtDNA_ratio	fcnnls.ne	50	0.9683947053274978	1	-0.0014409606080416834
2	mtDNA_ratio	fcnnls.ne	30	0.9327031733583309	12	-0.06993604014373125
2	mtDNA_ratio	fcnnls.ne	10	0.8368347811352721	16	-0.0235281010579449
2	mtDNA_ratio	fcnnls.ne	5	0.7748014564281458	0	0
2	mtDNA_ratio	fcnnls.ne	3	0.6787022773388818	0	0
2	mtDNA_ratio	fcnnls.ne	1	0.5292312438022203	0	0
2	mtDNA_ratio	rcppml.ne	500	0.9964506577761131	0	0
2	mtDNA_ratio	rcppml.ne	100	0.9831375809082645	0	0
2	mtDNA_ratio	rcppml.ne	50	0.9681759328410362	0	0
2	mtDNA_ratio	rcppml.ne	30	0.948875152142808	0	0
2	mtDNA_ratio	rcppml.ne	10	0.8656686778133929	0	0
2	mtDNA_ratio	rcppml.ne	5	0.7860604005920623	0	0
2	mtDNA_ratio	rcppml.ne	3	0.6819317572259328	0	0
2	mtDNA_ratio	rcppml.ne	1	0.5480860835383269	0	0
2	PC1	fcnnls.ne	500	0.9997213239406797	0	0
2	PC1	fcnnls.ne	100	0.998681832690297	0	0
2	PC1	fcnnls.ne	50	0.9941385134843793	0	0
2	PC1	fcnnls.ne	30	0.9944039690747346	0	0
2	PC1	fcnnls.ne	10	0.9851982752361941	0	0
2	PC1	fcnnls.ne	5	0.9726837662761464	0	0
2	PC1	fcnnls.ne	3	0.9305027722574031	0	0
2	PC1	fcnnls.ne	1	0.8192539913915303	0	0
2	PC1	rcppml.ne	500	0.9998191428936091	0	0
2	PC1	rcppml.ne	100	0.9992236765556298	0	0
2	PC1	rcppml.ne	50	0.9983243245453728	0	0
2	PC1	rcppml.ne	30	0.9978556547837844	0	0
2	PC1	rcppml.ne	10	0.9917040275301576	0	0
2	PC1	rcppml.ne	5	0.98151128739576	0	0
2	PC1	rcppml.ne	3	0.9673522963842487	0	0
2	PC1	rcppml.ne	1	0.8949515635552474	0	0
2	value	fcnnls.ne	500	0.9994651963336232	0	0
2	value	fcnnls.ne	100	0.9979419486229126	0	0
2	value	fcnnls.ne	50	0.9953996112689738	0	0
2	value	fcnnls.ne	30	0.9932489407060322	0	0
2	value	fcnnls.ne	10	0.9777084510857688	0	0
2	value	fcnnls.ne	5	0.9626297389094524	0	0
2	value	fcnnls.ne	3	0.9146373116102978	0	0
2	value	fcnnls.ne	1	0.8073832327097199	0	0
2	value	rcppml.ne	500	0.9996746619537057	0	0
2	value	rcppml.ne	100	0.9986027123772323	0	0
2	value	rcppml.ne	50	0.9976826885295507	0	0
2	value	rcppml.ne	30	0.996068506971456	0	0
2	value	rcppml.ne	10	0.9833942474682055	0	0
2	value	rcppml.ne	5	0.974132284908744	0	0
2	value	rcppml.ne	3	0.9638246759611179	0	0
2	value	rcppml.ne	1	0.8519373946871058	0	0
3	Albendazole_q75.TOF	fcnnls.ne	500	0.9978444639508145	0	0
3	Albendazole_q75.TOF	fcnnls.ne	100	0.9903736832213967	0	0
3	Albendazole_q75.TOF	fcnnls.ne	50	0.9754734875286168	0	0
3	Albendazole_q75.TOF	fcnnls.ne	30	0.959030242406982	0	0
3	Albendazole_q75.TOF	fcnnls.ne	10	0.9128610605298393	0	0
3	Albendazole_q75.TOF	fcnnls.ne	5	0.8743108180517007	0	0
3	Albendazole_q75.TOF	fcnnls.ne	3	0.7018966466898334	0	0
3	Albendazole_q75.TOF	fcnnls.ne	1	0.48120366201803955	0	0
3	Albendazole_q75.TOF	rcppml.ne	500	0.9983790210077206	0	0
3	Albendazole_q75.TOF	rcppml.ne	100	0.9939141770335731	0	0
3	Albendazole_q75.TOF	rcppml.ne	50	0.983778338789416	0	0
3	Albendazole_q75.TOF	rcppml.ne	30	0.9686009439134968	0	0
3	Albendazole_q75.TOF	rcppml.ne	10	0.9344487473262394	0	0
3	Albendazole_q75.TOF	rcppml.ne	5	0.8924883964546706	0	0
3	Albendazole_q75.TOF	rcppml.ne	3	0.70764891156534	0	0
3	Albendazole_q75.TOF	rcppml.ne	1	0.4897035541448126	0	0
3	amsacrine_f.L1	fcnnls.ne	500	0.9993142016873153	0	0
3	amsacrine_f.L1	fcnnls.ne	100	0.9947215865249538	0	0
3	amsacrine_f.L1	fcnnls.ne	50	0.992786210162544	0	0
3	amsacrine_f.L1	fcnnls.ne	30	0.9886545933682941	0	0
3	amsacrine_f.L1	fcnnls.ne	10	0.950899163599199	0	0
3	amsacrine_f.L1	fcnnls.ne	5	0.8865310188963335	0	0
3	amsacrine_f.L1	fcnnls.ne	3	0.9024546284557582	0	0
3	amsacrine_f.L1	fcnnls.ne	1	0.7516168437859242	0	0
3	amsacrine_f.L1	rcppml.ne	500	0.999603527066404	0	0
3	amsacrine_f.L1	rcppml.ne	100	0.9972149573483088	0	0
3	amsacrine_f.L1	rcppml.ne	50	0.9958108891712764	0	0
3	amsacrine_f.L1	rcppml.ne	30	0.9931503148842302	0	0
3	amsacrine_f.L1	rcppml.ne	10	0.9767646363227329	0	0
3	amsacrine_f.L1	rcppml.ne	5	0.9497497666625325	0	0
3	amsacrine_f.L1	rcppml.ne	3	0.9266269136478594	0	0
3	amsacrine_f.L1	rcppml.ne	1	0.8194569569486211	0	0
3	assay_norm	fcnnls.ne	500	0.9990507051613389	0	0
3	assay_norm	fcnnls.ne	100	0.9961828079113101	0	0
3	assay_norm	fcnnls.ne	50	0.9924904193682111	0	0
3	assay_norm	fcnnls.ne	30	0.9825998113686067	0	0
3	assay_norm	fcnnls.ne	10	0.9631633194235847	0	0
3	assay_norm	fcnnls.ne	5	0.9328453151132405	0	0
3	assay_norm	fcnnls.ne	3	0.8256504863090391	0	0
3	assay_norm	fcnnls.ne	1	0.7109265081254501	0	0
3	assay_norm	rcppml.ne	500	0.9993032479789775	0	0
3	assay_norm	rcppml.ne	100	0.997430448560866	0	0
3	assay_norm	rcppml.ne	50	0.9945841904436423	0	0
3	assay_norm	rcppml.ne	30	0.9870582637495294	0	0
3	assay_norm	rcppml.ne	10	0.9692995265618468	0	0
3	assay_norm	rcppml.ne	5	0.9481823589597922	0	0
3	assay_norm	rcppml.ne	3	0.8948000198783994	0	0
3	assay_norm	rcppml.ne	1	0.730902931255852	0	0
3	etoposide_median.TOF	fcnnls.ne	500	0.9991845787904243	0	0
3	etoposide_median.TOF	fcnnls.ne	100	0.9939160121572367	0	0
3	etoposide_median.TOF	fcnnls.ne	50	0.9894037509456617	0	0
3	etoposide_median.TOF	fcnnls.ne	30	0.9798298331646843	0	0
3	etoposide_median.TOF	fcnnls.ne	10	0.9407189172992187	0	0
3	etoposide_median.TOF	fcnnls.ne	5	0.8751167794765246	0	0
3	etoposide_median.TOF	fcnnls.ne	3	0.8479180115701456	0	0
3	etoposide_median.TOF	fcnnls.ne	1	0.7240110945976109	0	0
3	etoposide_median.TOF	rcppml.ne	500	0.9993796778955125	0	0
3	etoposide_median.TOF	rcppml.ne	100	0.9970629947332665	0	0
3	etoposide_median.TOF	rcppml.ne	50	0.9939484372544952	0	0
3	etoposide_median.TOF	rcppml.ne	30	0.9885246072359672	0	0
3	etoposide_median.TOF	rcppml.ne	10	0.9689734760993453	0	0
3	etoposide_median.TOF	rcppml.ne	5	0.9299039813020822	0	0
3	etoposide_median.TOF	rcppml.ne	3	0.896461941764897	0	0
3	etoposide_median.TOF	rcppml.ne	1	0.7694955871189834	0	0
3	mtDNA_ratio	fcnnls.ne	500	0.9956737113163203	0	0
3	mtDNA_ratio	fcnnls.ne	100	0.9830975973140488	0	0
