strain	depth	abs_err	rel_err	mean_input	n_obs	n_private
QG2873	5	0.00188119251550978	0.435758499644948	0.00431705294800343	10	163
QG2873	3	0.00129498562427855	0.299969826609947	0.00431705294800343	10	163
QG2873	1	0.00213990976207247	0.495687634098197	0.00431705294800343	10	163
QG2874	500	0.000103940478196496	0.0253502007205906	0.00410018363728659	10	196
QG2874	100	0.000339805097068907	0.0828755800054318	0.00410018363728659	10	196
QG2874	50	0.000460834666871195	0.112393665171584	0.00410018363728659	10	196
QG2874	30	0.000849040841906003	0.207073857420659	0.00410018363728659	10	196
QG2874	10	0.00157455985321319	0.384021788413166	0.00410018363728659	10	196
QG2874	5	0.0014740563967759	0.359509848137289	0.00410018363728659	10	196
QG2874	3	0.002041006679943	0.497784211756353	0.00410018363728659	10	196
QG2874	1	0.00263610679931467	0.642924081580696	0.00410018363728659	10	196
QG2875	500	8.28925311457892e-05	0.0214234942330174	0.00386923488036967	10	745
QG2875	100	0.00011160326976406	0.0288437567670737	0.00386923488036967	10	745
QG2875	50	0.000468291939019382	0.12102959719381	0.00386923488036967	10	745
QG2875	30	0.000288654396704008	0.0746024487085234	0.00386923488036967	10	745
QG2875	10	0.000643732296514451	0.166371987335374	0.00386923488036967	10	745
QG2875	5	0.000714326348568592	0.184616951582	0.00386923488036967	10	745
QG2875	3	0.00101932111479975	0.263442552937588	0.00386923488036967	10	745
QG2875	1	0.00149042606195172	0.385199169353432	0.00386923488036967	10	745
QG2877	500	6.72971683330887e-05	0.0143040188571507	0.00470477346298006	10	412
QG2877	100	0.000237351492509541	0.0504490799349137	0.00470477346298006	10	412
QG2877	50	0.0003611855395586	0.0767700171752416	0.00470477346298006	10	412
QG2877	30	0.000593793939692749	0.126210952422061	0.00470477346298006	10	412
QG2877	10	0.000861377425504284	0.183085845106489	0.00470477346298006	10	412
QG2877	5	0.000942153162010459	0.200254734776048	0.00470477346298006	10	412
QG2877	3	0.00096091005540975	0.204241514064547	0.00470477346298006	10	412
QG2877	1	0.00196585199796614	0.417842009489857	0.00470477346298006	10	412
QG2932	500	0.000112463105145804	0.0187495459643994	0.00599817752170331	10	1084
QG2932	100	0.000218728378867534	0.0364658061679744	0.00599817752170331	10	1084
QG2932	50	0.000278865997126508	0.046491787900155	0.00599817752170331	10	1084
QG2932	30	0.000406783821614807	0.0678179030452057	0.00599817752170331	10	1084
QG2932	10	0.000715958168051865	0.119362617305223	0.00599817752170331	10	1084
QG2932	5	0.00110742603188448	0.18462708512335	0.00599817752170331	10	1084
QG2932	3	0.00128089517879164	0.213547394047101	0.00599817752170331	10	1084
QG2932	1	0.00168034420424205	0.280142459632452	0.00599817752170331	10	1084
QG536	500	0.000101137446993268	0.523529593668236	0.00432196012383257	30	567
QG536	100	0.000225748389728591	0.972536834324873	0.00432196012383257	30	567
QG536	50	0.000214955628864589	0.529781799586855	0.00432196012383257	30	567
QG536	30	0.000350608017420517	1.50471708855807	0.00432196012383257	30	567
QG536	10	0.000635082084491003	1.51047353954905	0.00432196012383257	30	567
QG536	5	0.000778989987693657	2.09352354040444	0.00432196012383257	30	567
QG536	3	0.000954323503356647	3.86697321914748	0.00432196012383257	30	567
QG536	1	0.00173510500299149	7.70114144121246	0.00432196012383257	30	567
QG556	500	6.09653619700522e-05	0.00856474890485516	0.01011961571894	60	859
QG556	100	0.000122288714595805	0.0154818392302261	0.01011961571894	60	859
QG556	50	0.000211329069794082	0.0292867881294248	0.01011961571894	60	859
QG556	30	0.000279155824815893	0.0369355944197194	0.01011961571894	60	859
QG556	10	0.000415320665195595	0.0568365818831515	0.01011961571894	60	859
QG556	5	0.000589336345294072	0.0781971923188077	0.01011961571894	60	859
QG556	3	0.000701297724090931	0.103392733360159	0.01011961571894	60	859
QG556	1	0.00133176758923389	0.179114832795092	0.01011961571894	60	859
QG557	500	9.97058516348781e-05	0.022250364436649	0.00599116164859399	50	285
QG557	100	0.000185625879024635	0.0384073162909377	0.00599116164859399	50	285
