species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis elegans,,JU314,JU311,F2.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,Mollusk,"live mollusk, snails",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Helix snails, under the tree full of ivy.",,False,,False,False
Caenorhabditis elegans,,JU3140,JU3140,P142.14,20170531,JU,48.71,-3.81,Rural_garden,Brittany,Rotting_stem,rotting stems,,,,,M.-A. Felix,M.-A. Felix,2009-08-09,,4,False,,True,True
Caenorhabditis elegans,,JU3141,JU3141,,20180413,JU,48.71,-3.81,Rural_garden,Brittany,Rotting_stem,rotting stems,,,,,M.-A. Felix,M.-A. Felix,2009-08-09,,7,False,,True,True
Caenorhabditis elegans,,JU3142,JU792,P143.9,20170531,JU,48.71,-3.81,Rural_garden,Brittany,Rotting_stem,rotting stems,,,,,M.-A. Felix,M.-A. Felix,2009-08-09,,,False,,False,True
Caenorhabditis elegans,,JU3144,JU3144,C3.4,20170531,JU,6.18,10.52,Forest,Northwest,Vegetal_litter/mix,rotting leaves,,,,,J. David,M.-A. Felix,2016-05-01,,5,False,,True,True
Caenorhabditis elegans,,JU315,JU311,F3.1,20160408,JU,44.2,4.4,Rural_garden,Languedoc-Roussillon,Mollusk,"live mollusk, Pomatias",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From Pomatias elegans (?) snails",,False,,False,True
Caenorhabditis elegans,,JU316,JU311,F3.2,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From Pomatias elegans (?) snails.",,False,,False,False
Caenorhabditis elegans,,JU3166,JU3166,STM1.1,20180413,JU,0.28417,6.59837,,Sao Tome,Fungus,"rotting vegetation, mushrooms",,,,,M.-A. Felix,M.-A. Felix,2016-09-19,,6,False,,True,True
Caenorhabditis elegans,,JU3167,JU3167,STJ1.2,20180413,JU,0.289,6.612,Botanical_garden_or_zoo,Sao Tome,Rotting_nut/pod/seed/fruit,"rotting vegetation, avocados",,,,,J. David,M.-A. Felix,2016-09-21,,7,False,,True,True
Caenorhabditis elegans,,JU3169,JU3169,STJ6.1,20180413,JU,0.289,6.612,Botanical_garden_or_zoo,Sao Tome,Rotting_stem,"rotting vegetation, banana pseudostem",,,,,J. David,M.-A. Felix,2016-09-21,,6,False,,True,True
Caenorhabditis elegans,,JU317,JU311,F4.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From snail Oxychilus sp. (destroyed during sampling)",,False,,False,False
Caenorhabditis elegans,,JU318,JU311,F6.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From soil under a tree full of ivy.",,False,,False,False
Caenorhabditis elegans,,JU319,JU311,F6.2,20160408,JU,44.42,4.4,Rural_garden,Auvergne Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardeche), France. 8 Sep 02. From soil under a tree full of ivy.",,False,,False,False
Caenorhabditis elegans,,JU321,JU311,F9.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From soil under a tree full of ivy.",,False,,False,False
Caenorhabditis elegans,,JU322,JU323,D1.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,,,,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #1 on the trunk of a mulberry tree (not the same snail as JU323).",,False,,False,False
Caenorhabditis elegans,,JU3224,JU3224,JoNZ1.5,20180413,JU,-41.296186,174.784857,Urban_garden,Wellington,Rotting_nut/pod/seed/fruit,Ficus carica fruits,,,,,J. Ewbank,M.-A. Felix,2017-04-01,"Isolated from rotting Ficus carica fruits sampled in April 2017 by J. Ewbank in Wellington, New Zealand. GPS -41.296186,174.784857. Same tree as JU3225.",7,False,,True,True
Caenorhabditis elegans,,JU3225,JU3225,NaNZ3.1,20180413,JU,-41.296186,174.784857,Urban_garden,Wellington,Rotting_nut/pod/seed/fruit,Ficus carica fruits,,,,,N. Pujol,M.-A. Felix,2017-04-02,"Isolated from rotting Ficus carica fruits sampled in April 2017 by N. Pujol in Wellington, New Zealand. GPS -41.296186,174.784857. Same tree as JU3224, a few days later.",6,False,,True,True
