sample,sample_info,time,rnai,replicate,depth_cutoff,strain,frq,t0_frq,ctrl_frq,delta_t0,delta_ctrl,log2fc_t0,log2fc_ctrl
A11,T2_pos-1_2,T2,pos-1,2,3,JU2811,0,0.0027038594053627,0.000973681764874277,-0.0027038594053627,-0.000973681764874277,-66.5630585523529,-65.0895606441861
A12,T2_pos-1_3,T2,pos-1,3,3,JU2811,0,0.0027038594053627,0.000973681764874277,-0.0027038594053627,-0.000973681764874277,-66.5630585523529,-65.0895606441861
A13,T2_pos-1_4,T2,pos-1,4,3,JU2811,0,0.0027038594053627,0.000973681764874277,-0.0027038594053627,-0.000973681764874277,-66.5630585523529,-65.0895606441861
A6,T2_ctrl_A,T2,ctrl,A,3,JU2811,0.00130679268073915,0.0027038594053627,0.000973681764874277,-0.00139706672462355,0.000333110915864876,-1.04898985718719,0.424508050979639
A7,T2_ctrl_B,T2,ctrl,B,3,JU2811,0.000640570849009401,0.0027038594053627,0.000973681764874277,-0.0020632885563533,-0.000333110915864876,-2.07759008586182,-0.60409217769499
A10,T2_pos-1_1,T2,pos-1,1,5,JU2811,0,0.00306726339192587,0.000976469231841933,-0.00306726339192587,-0.000976469231841933,-66.744990474674,-65.0936849068881
A11,T2_pos-1_2,T2,pos-1,2,5,JU2811,0,0.00306726339192587,0.000976469231841933,-0.00306726339192587,-0.000976469231841933,-66.744990474674,-65.0936849068881
A12,T2_pos-1_3,T2,pos-1,3,5,JU2811,0,0.00306726339192587,0.000976469231841933,-0.00306726339192587,-0.000976469231841933,-66.744990474674,-65.0936849068881
A13,T2_pos-1_4,T2,pos-1,4,5,JU2811,0,0.00306726339192587,0.000976469231841933,-0.00306726339192587,-0.000976469231841933,-66.744990474674,-65.0936849068881
A6,T2_ctrl_A,T2,ctrl,A,5,JU2811,0.00129147119625803,0.00306726339192587,0.000976469231841933,-0.00177579219566784,0.000315001964416094,-1.24793659165805,0.403368976127778
A7,T2_ctrl_B,T2,ctrl,B,5,JU2811,0.000661467267425839,0.00306726339192587,0.000976469231841933,-0.00240579612450003,-0.000315001964416094,-2.21321038706823,-0.561904819282407
A10,T2_pos-1_1,T2,pos-1,1,10,JU2811,0,0.00185028934174657,0.000871802180243423,-0.00185028934174657,-0.000871802180243423,-66.0157893076604,-64.9301111324635
A11,T2_pos-1_2,T2,pos-1,2,10,JU2811,0,0.00185028934174657,0.000871802180243423,-0.00185028934174657,-0.000871802180243423,-66.0157893076604,-64.9301111324635
A12,T2_pos-1_3,T2,pos-1,3,10,JU2811,0,0.00185028934174657,0.000871802180243423,-0.00185028934174657,-0.000871802180243423,-66.0157893076604,-64.9301111324635
A13,T2_pos-1_4,T2,pos-1,4,10,JU2811,0,0.00185028934174657,0.000871802180243423,-0.00185028934174657,-0.000871802180243423,-66.0157893076604,-64.9301111324635
A6,T2_ctrl_A,T2,ctrl,A,10,JU2811,0.000959695938678783,0.00185028934174657,0.000871802180243423,-0.000890593403067788,8.78937584353596e-05,-0.947101598981546,0.138576576215357
A7,T2_ctrl_B,T2,ctrl,B,10,JU2811,0.000783908421808064,0.00185028934174657,0.000871802180243423,-0.00106638091993851,-8.78937584353596e-05,-1.23899386200188,-0.153315686804977
A10,T2_pos-1_1,T2,pos-1,1,3,JU2825,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,3,JU2825,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,3,JU2825,0,0,0,0,0,0,0
