strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"ECA812",-0.00255922718249323,-0.0252877728568928,-1.46909457552351,0.00365730608319809,-2.39725000334781
"ECA923",-0.0041586435768364,-0.0354137001194747,-1.78932064902588,0.00383442711049547,-2.23272957618771
"ECA928",-0.000750777240813479,-0.0274037443592112,-64.7144952375417,-0.00374601013087678,-3.12448890112652
"ECA930",NA,NA,NA,0,NA
"ED3005",-0.0140035958399909,-0.105129797167481,-6.10691735443005,-9.70155939788251e-05,-1.84741313541467
"ED3011",-0.00448103659426934,-0.0669906401387993,-67.2918709239658,0.00448103659426934,-2.34862150941783
"ED3012",NA,NA,NA,0,NA
"ED3040",-0.00259888725770938,-0.0331859274593561,-2.60508191642407,0.00288840679479778,-2.50723255370619
"ED3046",-0.00805382115670889,-0.0770438674828791,-5.41703705601614,-0.00145943602209034,-2.08371249792332
"ED3048",NA,NA,NA,-0.00295427792344824,NA
"ED3049",-0.0086737187501151,-0.0813484454180528,-5.75366850323801,0.00401397173580329,-2.05366984729846
"ED3052",-0.00175306132680828,-0.0418818181754435,-65.9379148820353,0.00175306132680828,-2.75620289084941
"ED3073",NA,NA,NA,0,NA
"ED3077",-0.0116043419591626,-0.0829840224621745,-3.91214602173063,0.000995652402071504,-1.90552904112631
"EG4347",-0.00562474692056355,-0.0750687990961969,-67.6198266009743,0.0049957542736135,-2.24989701339
"EG4349",-0.000146111278655153,-0.0120879442163803,-62.3531778680928,-0.0023352341651272,-3.83531625861302
"EG4724",-0.000589549013111152,-0.0119454250403951,-1.42410123694011,-0.00247994626895667,-3.02698898456821
"EG4946",NA,NA,NA,0,NA
"GXW1",-0.00882079949434796,-0.0940577360108261,-68.2689478395348,0.0077856323788625,-2.05449204976072
"JU1088",NA,NA,NA,-0.000708335055735566,NA
"JU1172",-0.00340113355055137,-0.0496294512238192,-5.27627748721581,0.00189955963662265,-2.45702278429416
"JU1200",NA,NA,NA,-0.00136234968438343,NA
"JU1212",0.00158570680897372,0.0349741999597133,5.90104144189822,2.69874316421492e-05,-4.5688384447031
"JU1213",NA,NA,NA,0,NA
"JU1242",NA,NA,NA,0,NA
"JU1246",0.0541688330766247,0.155389821891564,2.65955071587014,0.00840629791073856,-1.99202845752914
"JU1249",-4.53320956689817e-05,-0.000871980431580408,-0.0967362216041572,0.000698988631053355,-3.15552988793235
"JU1395",NA,NA,NA,0,NA
