strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"NIC3",NA,NA,NA,0,NA
"NIC501",-0.00351197656601083,-0.0348701638671944,-2.0780950571524,0.000570418565752267,-2.33707143740035
"NIC511",-0.014251135954211,-0.119663501354996,-68.9610434312771,-0.00126329347480303,-1.84615051677947
"NIC513",0.00401037511093007,0.0360292229201362,1.93088751655412,-0.00361742672220469,-2.84596881614957
"NIC514",-0.000168391202086154,-0.0129769277874523,-62.5579270848762,0.000168391202086154,-3.77368060277252
"NIC515",-0.00190461431844539,-0.0115945775720571,-0.405214962444625,0.00777786525989448,-2.10913958463818
"NIC522",NA,NA,NA,0,NA
"NIC523",NA,NA,NA,-0.000804643632013994,NA
"NIC526",-0.000310651008870098,-0.00870573392274013,-1.43639192695465,-0.00116175553951297,-3.30741906088243
"NIC527",-0.00863882584024773,-0.0735866042786989,-4.22496375215235,0.000631849298428496,-2.03967689672286
"NIC528",NA,NA,NA,-0.000362972021487796,NA
"NIC529",-0.0033399221396846,-0.0476081380035975,-4.75953073496027,0.00022921578146069,-2.45992691113255
"PB303",-0.00100883290864637,-0.0317674729753735,-65.1407256586934,0.00100883290864637,-2.99618075929539
"PB306",-0.0270362955966256,-0.0868762904596206,-1.61043298995478,-0.0073812127384274,-1.39574507352614
"PX179",-0.01033813322348,-0.101852622121328,-68.4979422095462,0.0044647013917822,-1.98555787554912
"QG2075",NA,NA,NA,0,NA
"QG2811",-0.00108224565629305,-0.0329034390353374,-65.242066425849,-0.00299151824615992,-2.96567414859796
"QG2813",NA,NA,NA,-0.00106296358659278,NA
"QG2818",NA,NA,NA,0,NA
"QG2823",-0.00305686677820116,-0.0553171463279642,-66.7400920949677,-0.00260950920789262,-2.51472348791861
"QG2824",NA,NA,NA,-9.69057559692004e-05,NA
"QG2825",NA,NA,NA,0,NA
"QG2827",NA,NA,NA,-0.00961829385278076,NA
"QG2828",-0.00277027769303203,-0.0526577594050048,-66.5980690151759,0.00277027769303203,-2.55747669501253
"QG2832",0.0260167652807656,0.0904208581090872,1.8331076335406,0.00252774570064542,-1.99350164737137
"QG2835",-0.0315937232110683,-0.106100443648894,-2.09493381977514,0.00077326846448806,-1.3845832818674
