replicate	trait	depth	r2
8	Albendazole_q75.TOF	30	0.9701263365837716
8	Albendazole_q75.TOF	50	0.9836409176963484
8	Albendazole_q75.TOF	100	0.990016088882986
8	Albendazole_q75.TOF	500	0.9986823387051664
8	PC1	1	0.9205925516473511
8	PC1	3	0.9688857850292317
8	PC1	5	0.9733375878251659
8	PC1	10	0.9879830158695948
8	PC1	30	0.9975641925102201
8	PC1	50	0.9984690357732166
8	PC1	100	0.9990185927294896
8	PC1	500	0.9998418770111724
8	amsacrine_f.L1	1	0.7796368285871434
8	amsacrine_f.L1	3	0.9294535091257166
8	amsacrine_f.L1	5	0.9536831488728972
8	amsacrine_f.L1	10	0.9731537812649229
8	amsacrine_f.L1	30	0.9933605950476415
8	amsacrine_f.L1	50	0.9952843477033533
8	amsacrine_f.L1	100	0.9972550449011869
8	amsacrine_f.L1	500	0.9996133445905754
8	assay_norm	1	0.7976400898099246
8	assay_norm	3	0.8992952772583088
8	assay_norm	5	0.9362723636654531
8	assay_norm	10	0.9654966278592167
8	assay_norm	30	0.9901665678576449
8	assay_norm	50	0.9934657561990395
8	assay_norm	100	0.9964532349660868
8	assay_norm	500	0.9994373694249237
8	etoposide_median.TOF	1	0.7467061283649832
8	etoposide_median.TOF	3	0.875453691551793
8	etoposide_median.TOF	5	0.9344431521520375
8	etoposide_median.TOF	10	0.9597766756641561
8	etoposide_median.TOF	30	0.9919506021018447
8	etoposide_median.TOF	50	0.9947048670802909
8	etoposide_median.TOF	100	0.9970870758378024
8	etoposide_median.TOF	500	0.9993354037543961
8	mtDNA_ratio	1	0.5165664846231266
8	mtDNA_ratio	3	0.7004020995944122
8	mtDNA_ratio	5	0.8115483617229523
8	mtDNA_ratio	10	0.8958554658207367
8	mtDNA_ratio	30	0.9474233024488491
8	mtDNA_ratio	50	0.9662488916435487
8	mtDNA_ratio	100	0.9851112973203107
8	mtDNA_ratio	500	0.9961819151480992
8	value	1	0.9040524274341815
8	value	3	0.9555796643936156
8	value	5	0.9770744091755101
8	value	10	0.9825921571996558
8	value	30	0.9954362602641167
8	value	50	0.9966847911757102
8	value	100	0.9981847124442341
8	value	500	0.999727025691616
9	Albendazole_q75.TOF	1	0.576593946276164
9	Albendazole_q75.TOF	3	0.7786938502182299
9	Albendazole_q75.TOF	5	0.8353837655549536
9	Albendazole_q75.TOF	10	0.9113093849019798
9	Albendazole_q75.TOF	30	0.970004263026586
9	Albendazole_q75.TOF	50	0.9865632856315552
9	Albendazole_q75.TOF	100	0.991408492989496
9	Albendazole_q75.TOF	500	0.9984387527597298
9	PC1	1	0.8828458811222141
9	PC1	3	0.9645537863687229
9	PC1	5	0.982284868748457
9	PC1	10	0.9922560244347124
9	PC1	30	0.9974499928970546
9	PC1	50	0.9987742678065907
9	PC1	100	0.9993167450795984
9	PC1	500	0.9998526366282163
9	amsacrine_f.L1	1	0.777715341311769
9	amsacrine_f.L1	3	0.9487254342105309
9	amsacrine_f.L1	5	0.9538130009651721
9	amsacrine_f.L1	10	0.9710554900672083
9	amsacrine_f.L1	30	0.9925759788385174
9	amsacrine_f.L1	50	0.994782056011351
9	amsacrine_f.L1	100	0.9983970009041573
9	amsacrine_f.L1	500	0.9995005351236484
9	assay_norm	1	0.7248220643501794
9	assay_norm	3	0.8790127490697374
9	assay_norm	5	0.9343180819953496
9	assay_norm	10	0.961449969391597
9	assay_norm	30	0.9889528020292263
9	assay_norm	50	0.9926287780815317
