strain A10 A13 mean_rep
QG2823 -0.000377382798057198 -0.000487873075266408 -0.000432627936661803
QG2827 -0.000593672678327633 -0.00029202884468192 -0.000442850761504776
QG2828 -0.00475215715664005 -0.00825635979619969 -0.00650425847641987
QG2832 0.0155394828305792 0.0270244617911503 0.0212819723108647
QG2835 -0.033814827143325 -0.0276731307497518 -0.0307439789465384
QG2837 0.00149588603472356 -0.00120363283575646 0.000146126599483549
QG2838 2.91776606496826e-06 -0.000108248049058235 -5.26651414966335e-05
QG2841 0 2.55348105371384e-06 1.27674052685692e-06
QG2846 -0.00276421780779903 -0.000243478511427223 -0.00150384815961313
QG2850 -0.0100988357209989 -0.0198502796279165 -0.0149745576744577
QG2854 -0.000451176053169351 -0.00259219312444865 -0.001521684588809
QG2855 -1.44329560385141e-05 -0.000158676596026092 -8.65547760323033e-05
QG2857 -0.00344316672219969 -8.07855839045698e-05 -0.00176197615305213
QG2873 -2.57179796131254e-05 -0.000103390347976169 -6.45541637946471e-05
QG2874 -0.00169326105159317 -0.00421751959190987 -0.00295539032175152
QG2875 -0.0218377611886911 0.015532324116116 -0.00315271853628757
QG536 -0.00276243138615282 0.000411826122021734 -0.00117530263206554
QG556 0.000309345803391105 0.000400771479068154 0.000355058641229629
QG557 -0.00598074648769969 -0.00613334691909919 -0.00605704670339944
QW947 -0.0114440652317037 -0.0109552893652961 -0.0111996772984999
QX1211 -0.000191624284890336 -0.000139324773690788 -0.000165474529290562
QX1212 -0.00403831603947475 -0.00700219361634476 -0.00552025482790975
QX1233 -0.00660020540169286 -0.0040537465820951 -0.00532697599189398
QX1791 -0.00219800771583206 -0.000587928163265967 -0.00139296793954901
QX1792 0.00287901497194236 -0.000308838368521956 0.0012850883017102
QX1793 -0.00112999960304231 -0.000285942428068021 -0.000707971015555165
RC301 -0.00415629174989617 -0.00533231619938089 -0.00474430397463853
TWN2530 -0.00218347333361889 -0.00163890987673812 -0.00191119160517851
WN2001 -0.00035057734208886 -5.60722861059329e-06 -0.000178092285349726
WN2050 0.00404641801144315 0.00715884060797776 0.00560262930971045
WN2063 0.0116424782964875 -0.00205899075276732 0.0047917437718601
WN2064 -0.00700948046441406 -9.8061035935724e-05 -0.00355377075017489
WN2066 -0.00271775979770328 -0.0009564634838998 -0.00183711164080154
WN2069 -0.000661071236654069 0 -0.000330535618327035
WN2086 -2.06914046846019e-05 9.70553168595259e-05 3.8181956087462e-05
XZ1515 4.41223626591516e-05 -7.16533018367777e-05 -1.37654695888131e-05
XZ1672 0 -6.44559824416185e-06 -3.22279912208092e-06
XZ1734 0.000355438915305497 0.000502369235296417 0.000428904075300957
XZ1756 -0.00177047436744933 -0.00020909990391799 -0.000989787135683661
XZ2018 -0.00477551413768065 -0.00102289620305579 -0.00289920517036822
