strain	rep	ctrl_frq_boot	ctrl_frq_boot_se	pos1_frq_boot	pos1_frq_boot_se	delta_freq	direction
JU3128	B	3.092910431354063e-5	2.5577791294225066e-4	0	0	-3.092910431354063e-5	decrease
JU3132	A	0.008739966162415	0.0035048226167696105	0.04611490244273057	0.002269115392461068	0.03737493628031557	increase
JU3132	B	0.00923446685172637	0.0029231922582482195	0.0368895543967126	0.0037557443280194346	0.027655087544986228	increase
JU3141	A	5.74988350261355e-4	0.0018487818433067583	0	0	-5.74988350261355e-4	decrease
JU3141	B	1.3430368071965e-4	6.605455928598151e-4	0	0	-1.3430368071965e-4	decrease
JU3144	A	0.002809890736175866	0.0021367388779252503	0.005596393327471901	0.0030560996638912667	0.002786502591296035	increase
JU3144	B	0.002380069506378702	0.001754723139856254	0.007458369507594022	0.0022814135703412863	0.00507830000121532	increase
JU3166	A	0.010680196634306208	0.0019902658314228413	0.009069145886704585	0.0028201238327108815	-0.0016110507476016223	decrease
JU3166	B	0.006126668909500626	0.001800157197501677	0.006792595664196249	0.002465778498335696	6.659267546956227e-4	increase
JU3167	A	7.150856428889638e-4	0.0012287095016619977	0.00939524392155879	0.0016256463385515446	0.008680158278669827	increase
JU3167	B	0.006069674899108044	0.0016564912447588937	0.010833856683932011	0.001254518347573038	0.004764181784823967	increase
JU3169	A	1.9631666006078387e-4	5.230015671359176e-4	8.341731389079362e-5	2.997922433803534e-4	-1.1289934616999025e-4	decrease
JU3169	B	0	0	3.3496885653030973e-4	6.810661232543031e-4	3.3496885653030973e-4	increase
JU3224	A	0.0026938105032611446	0.00234717200959855	0.0016279976216907704	0.001690711836225196	-0.0010658128815703742	decrease
JU3224	B	0.004310526836457516	0.0022126583633334733	0.0025187311053359858	0.0017052523886388693	-0.0017917957311215306	decrease
JU3225	A	0	0	0	0	0	increase
JU3225	B	2.8134065702380365e-6	1.688166469591826e-5	0	0	-2.8134065702380365e-6	decrease
JU3226	A	0.0015097774099605452	3.7170607828331177e-4	0.0030052166571898128	4.7707059854584457e-4	0.0014954392472292675	increase
JU3226	B	0.0021202351359258615	4.4163466485347896e-4	0.0013572119716113303	5.032025138809071e-4	-7.630231643145312e-4	decrease
JU3280	A	9.3793751861565e-4	0.0019157849418334708	0	0	-9.3793751861565e-4	decrease
JU3280	B	6.499502301691862e-4	0.0016468513399294307	0	0	-6.499502301691862e-4	decrease
JU3282	A	0.004238130211872103	0.003185984270028934	0	0	-0.004238130211872103	decrease
JU3282	B	0.00222208393338403	0.0025837936084788203	1.378809812466906e-6	1.378809812466906e-5	-0.002220705123571563	decrease
JU3291	A	0.008254304045622331	0.0024977822416264424	0.12020310476781364	0.008692159084325761	0.11194880072219131	increase
JU3291	B	0.011771831591738667	0.002855836155006778	0.10232805038317844	0.005498054263555099	0.09055621879143977	increase
JU367	A	0.0012467714809433895	0.00197745938227281	0	0	-0.0012467714809433895	decrease
JU367	B	5.47084769156895e-5	3.28041469351269e-4	1.062522830970508e-5	7.508173499915549e-5	-4.408324860598442e-5	decrease
JU393	A	0.008477319355615978	0.003096149552404225	0.008911120104882767	0.004862577700759869	4.3380074926678905e-4	increase
